ch hasse sarah Connor, aba dieses eine Lied (Music is the Key oda so) is eig. ganz gut hörbar... liegt aba sicha net an sarah, sondern an naturally 7;0
So züchtet man selbstlose Soldaten heran und die Frauen dürfen wieder weiße Federn für Verrat und Feigheit an die Männer verteilen. Wie weit das geht, durfte ich vor ein paar Tagen hören, als ein 16-jähriger der Meinung war, nur Frauen dürften aus Kriegsgebieten flüchten, auch wenn sie alleine sind, aber bei Männer eben nicht. Die Männer sollten sich der Gefahr stellen und ihrem Land dienen und nicht feige davon rennen.;1
Guter Film! Sag ich ja!Aber was hat der mit dem Thema zu tun?;1
Lässt jetzt für die nächsten Jahre nichts gutes vermuten...;1
um was denn? bitte erhellen Sie uns..;0
Wenn nicht bald was geschieht in diesem Land haben wir einen neuen linksgrünen Hitler. Linksgrüne Nazis gibt es ja schon. Die Meinungsfreiheit wurde am 1.1.18 verboten. Demokratie gab es noch nie in Deutschland. |LBR| Denunziantentum 2017 neu eingeführt. Kann es noch schlimmer kommen?;0
Im Iran wirst du halt vom Regime umgebracht - siehe 2009...;1
Was ist denn mit unseren Generälen los ??Bei dem UNRECHTSSYSTEM wäre doch mal ein Militärputsch schön um ????zu retten !!!;0
Soll nun jeder der in unser Land kommt a gratis Wohnung und Verpflegung bekommen oder wie? Können froh sein dass sie überhaupt etwas von uns bekommen und wenn ihnen das ned reicht könnens as ja in an anderem Land probiern.;1
ja ja die Moralapostel von AI, die nur seit  Anbeginn darüber trauern können, dass die WElt kein Ponyhof ist;1
wieso wird immer durch die blume versucht von den armen malträtierten flüchtlingen zu sprechen und der bösen polizei? wenn eine grenze geschlossen ist, ist sie geschlossen, wer sie erstürmen versucht, setzt zumindest einen kriminellen akt. es weckt kein mitleid oder bedauern, wenn die migranten in idomeni irgend welchen dubiosen informanten mehr glauben schenken, als den dortigen behörden.wenn man grenzen nicht mehr verteidigen darf, kann man sie gleich ganz abbauen. das ist dann der anfang vom ende eines jeden staates und der anfang von anarchie.;1
"Das muss gar nicht so sein:Die palästinensischen Anführer hätten mit ihrem Terror und Verstößen gegen die Menschenrechte ( siehe z.B. die  Angriffe auf zivile Ziele mit ungelenkten Raketen ) selbst dann """"Unrecht"""",wenn sie tatsächlich mal die Stärkeren wären...";1
Den Türken ihre Türkei In der Türkei nicht in Deutschland. Verschwindet. |LBR| Wir vermissen Euch nicht.;0
Eine kurze Analyse von palästinensischen Schulbüchern bzw. Unterricht, eine Zusammenfassung von Freitagspredigten oder ein Querschnitt von arabischen Fernsehsendungen mit dem Thema Israel könnte bei der Beantwortung hilfreich sein. Alternativ auch ein Exzerpt aus Koran und Hadithen zum Thema Juden verbunden mit einer Einschätzung wie relevant diese Quellen für das tägl. Leben der Menschen sind (bzgl. Verhaltens-, Verfahrens- oder Rechtsvorschriften).;1
Was für Bio Deutsche Deutschland sollte den deutschen gehören.ganz einfach;0
Nur nicht nachgeben, Mazedonien.;1
offenbar geht es nur um das generieren von klicks, denn erst kann die redaktion diese geschichten doch nie und nimmer meinen.;1
Schreibt besser mal über die Asylanten Verbrechen dass wird bei euch totgeschwiegen!;0
OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!;0
Der Hauptgewinn im Tippspiel ist ein meet&greet mit Blue Schneckerl?;1
...zum Thema Überbevölkerung!;1
Und jetzt bleiben hoffentlich alle geistig beim kommenden Derby, damit wir die violetten Donnerstagsnasenbohrer schwindlig spielen!;0
"Wenn Niessl auf Biegen und Brechen """"gestalten"""" will, dann sollte er z.B. einen Töpferkurs besuchen.";0
Sie fragen , wie blöd man sich stellen kann? Ich gebe die Frage an Sie zurück!;1
Ich frage mich bei solchen Artikeln stets: - Ist dieses Beispiel repräsentativ? - Wurde auch wertfrei berichtet? Insbesondere, wurde auch nichts, was die positiven Aspekte der Story relativieren würde, verschwiegen? Wenn nur eine der beiden Fragen zu verneinen ist, wäre der Bericht nämlich für die Würscht.;1
also was soll die schräge Frage;1
