@corinnamilborn Liebe Corinna wir würden dich gerne als Moderatorin für uns gewinnen! Wärst du begeisterbar?;1
@Martin28a Sie haben ja auch Recht. Unser Tweet war etwas missverständlich. Dass das BVerfG Sachleistungen nicht ausschließt kritisieren wir.;1
@ahrens_theo fröhlicher gruß aus der schönsten stadt der welt theo ??;1
@dushanwegner Amis hätten alles und jeden gewählt...nur Hillary wollten sie nicht und eine Fortsetzung von Obama-Politik erst recht nicht..!;1
@spdde kein verläßlicher Verhandlungspartner. Nachkarteln nach den Sondierzngsgesprächen - schickt diese Stümper #SPD in die Versenkung.;0
@Dirki_M Ja aber wo widersprechen die Zahlen denn denen die im von uns verlinkten Artikel stehen? In unserem Tweet geht es rein um subs. Geschützte. 2017 ist der gesamte Familiennachzug im Vergleich zu 2016 - die Zahlen die Hr. Brandner bemüht - übrigens leicht rückläufig gewesen.;1
@milenahanm 33 bis 45 habe ich noch gar nicht gelebt und es geht mir am Arsch vorbei was in dieser Zeit geschehen ist. Ich lebe im heute und jetzt und nicht in der Vergangenheit.;0
@jayxderxmensch @jayxthexhuman Wieso? Was findest du da unklar?;1
@tagesschau Euere AfD Hetze wirkt. Da könnt ihr stolz sein bei #ARD-Fernsehen;0
"Deutsche Medien Halbwahrheiten und einseitige Betrachtung wie bei allen vom Staat finanzierten ""billigen"" Propagandainstitutionen ??";0
@AJCBerlin @AuswaertigesAmt Er hat heute morgen auch Schäuble getroffen. Das ist einfach nur unfassbar;1
@Ralf_Stegner Oman Ralle..dich mag ja immer noch keiner. Du willst das die Hetze gegen dich aufhört? |LBR| Geh in Rente und verzichte auf die 1/2deiner Pension;0
Klausurtagung der CSU hat eher Fragezeichen vermehrt ob Union die Kraft hat die erforderlichen Veränderungen von Europa bis Digitalisierung bei Arbeit und Rente bei Bildung und Familie bei Gesundheit und Wohnen bei Pflege und Steuern bei Integration etc. anzugehen.;1
Den Türken ist die Souveränität der Niederlande egal. Sie wollen dort |LBR| bestimmen. So geht das nicht. Ausweisen wem das nicht passt.;1
"@L7250402 @RGutmensch Auweia. Es geht nicht darum dass man uns ""toll"" finden muss. Aber man könnte zumindest versuchen zu verstehen was wir machen und wie wir das finanzieren bevor man einfach falsche Schlussfolgerungen zieht und diese schamlos verbreitet. Schafft aber scheinbar nicht jeder.";1
@DietmarBartsch @DJanecek Na geht doch. Jetzt muss noch @SWagenknecht in einer Nachtsitzung Angela Merkel die Obergrenze abhandeln dann kann Schwarz-Grün-Dunkelrot noch vor Weihnachten die Amtseide ablegen.;1
